# Angles for annie_jab.mp4
# time, frame, left_elbow_deg, right_elbow_deg
16:00:09.657,    291, 51.7, NaN
16:00:09.690,    292, 49.4, NaN
16:00:09.723,    293, 49.5, NaN
16:00:09.757,    294, 49.9, NaN
16:00:09.790,    295, 50.7, NaN
16:00:09.823,    296, 50.7, NaN
16:00:09.857,    297, 50.5, NaN
16:00:09.890,    298, 51.0, NaN
16:00:09.923,    299, 50.5, NaN
16:00:09.957,    300, 49.2, NaN
16:00:09.990,    301, 50.6, NaN
16:00:10.023,    302, 52.5, NaN
16:00:10.057,    303, 53.6, NaN
16:00:10.090,    304, 54.5, NaN
16:00:10.123,    305, 56.0, NaN
16:00:10.157,    306, 61.3, NaN
16:00:10.190,    307, 65.3, NaN
16:00:10.223,    308, 68.9, NaN
16:00:10.257,    309, 69.6, NaN
16:00:10.290,    310, 68.8, NaN
16:00:10.323,    311, 71.8, NaN
16:00:10.357,    312, 69.7, NaN
16:00:10.390,    313, 69.3, NaN
16:00:10.423,    314, 69.2, 92.1
16:00:10.457,    315, 68.5, 69.2
16:00:10.490,    316, NaN, 37.9
16:00:10.523,    317, 66.3, 26.4
16:00:10.557,    318, 62.4, 12.3
16:00:10.590,    319, 65.3, 0.9
16:00:10.623,    320, 56.2, 1.5
16:00:10.657,    321, 47.9, 0.6
16:00:10.690,    322, 37.9, 0.2
16:00:10.723,    323, 25.4, NaN
16:00:10.757,    324, 14.2, 0.3
16:00:10.790,    325, 5.9, 4.5
16:00:10.822,    326, 2.9, 10.8
16:00:10.855,    327, 14.0, 15.4
16:00:10.888,    328, 27.5, 22.4
16:00:10.922,    329, 30.7, 27.3
16:00:10.955,    330, 31.9, 31.1
16:00:10.988,    331, 26.9, 31.2
16:00:11.022,    332, 23.5, 31.7
16:00:11.055,    333, 20.2, 31.7
16:00:11.088,    334, NaN, 33.3
16:00:11.122,    335, 13.7, 33.6
16:00:11.155,    336, 13.4, 33.4
16:00:11.188,    337, NaN, 33.6
16:00:11.222,    338, NaN, 34.2
16:00:11.255,    339, NaN, 32.6
16:00:11.288,    340, NaN, 31.6
16:00:11.322,    341, NaN, 32.0
16:00:11.355,    342, NaN, 33.0
16:00:11.388,    343, NaN, 31.9
16:00:11.422,    344, NaN, 30.9
16:00:11.455,    345, NaN, 32.5
16:00:11.488,    346, NaN, 33.8
16:00:11.522,    347, NaN, 33.8
16:00:11.555,    348, NaN, 33.1
16:00:11.588,    349, NaN, 32.5
16:00:11.622,    350, NaN, 32.7
16:00:11.655,    351, NaN, 33.1
16:00:11.688,    352, NaN, 32.5
16:00:11.722,    353, NaN, 32.9
16:00:11.755,    354, NaN, 33.6
16:00:11.788,    355, NaN, 33.7
16:00:11.822,    356, NaN, 34.2
16:00:11.855,    357, NaN, 34.6
16:00:11.888,    358, NaN, 34.2
16:00:11.922,    359, NaN, 34.8
16:00:11.955,    360, NaN, 40.9
16:00:11.988,    361, NaN, 62.7
16:00:12.022,    362, NaN, NaN
16:00:12.055,    363, NaN, NaN
16:00:12.088,    364, NaN, NaN
16:00:12.122,    365, NaN, NaN
16:00:12.155,    366, NaN, 120.9
16:00:12.188,    367, NaN, 82.1
16:00:12.222,    368, NaN, 51.0
16:00:12.255,    369, NaN, 31.2
16:00:12.288,    370, NaN, 25.5
16:00:12.322,    371, NaN, 28.3
16:00:12.355,    372, NaN, 32.8
16:00:12.388,    373, NaN, 32.1
16:00:12.422,    374, NaN, 31.1
16:00:12.455,    375, NaN, 31.5
16:00:12.488,    376, NaN, 32.0
16:00:12.520,    377, NaN, 32.6
16:00:12.553,    378, NaN, 33.6
16:00:12.587,    379, NaN, 32.7
16:00:12.620,    380, NaN, 32.4
16:00:12.653,    381, NaN, 32.1
16:00:12.687,    382, NaN, 31.8
16:00:12.720,    383, NaN, 32.3
16:00:12.753,    384, NaN, 32.4
16:00:12.787,    385, NaN, 31.9
16:00:12.820,    386, NaN, 32.2
16:00:12.853,    387, NaN, 32.5
16:00:12.887,    388, NaN, 32.4
16:00:12.920,    389, NaN, 32.3
16:00:12.953,    390, NaN, 33.1
16:00:12.987,    391, NaN, 34.4
16:00:13.020,    392, NaN, 37.9
16:00:13.053,    393, NaN, 55.8
16:00:13.087,    394, NaN, 77.3
16:00:13.120,    395, NaN, NaN
16:00:13.287,    400, NaN, NaN
16:00:13.320,    401, NaN, 63.5
16:00:13.353,    402, NaN, 40.9
16:00:13.387,    403, NaN, NaN
16:00:13.453,    405, NaN, NaN
16:00:13.487,    406, NaN, 30.2
16:00:13.520,    407, NaN, 34.4
16:00:13.553,    408, NaN, 34.6
16:00:13.587,    409, NaN, 34.3
16:00:13.620,    410, NaN, 33.7
16:00:13.653,    411, NaN, 32.6
16:00:13.687,    412, NaN, 32.6
16:00:13.720,    413, NaN, 32.6
16:00:13.753,    414, NaN, 32.2
16:00:13.787,    415, NaN, 32.2
16:00:13.820,    416, NaN, 32.3
16:00:13.853,    417, NaN, 31.9
16:00:13.887,    418, NaN, 31.5
16:00:13.920,    419, NaN, 31.8
16:00:13.953,    420, NaN, 33.0
16:00:13.987,    421, NaN, 42.6
16:00:14.020,    422, NaN, 61.0
16:00:14.053,    423, NaN, 94.4
16:00:14.087,    424, NaN, NaN
16:00:14.120,    425, NaN, NaN
16:00:14.152,    426, NaN, NaN
16:00:14.252,    429, NaN, NaN
16:00:14.285,    430, NaN, 62.7
16:00:14.318,    431, NaN, 43.6
16:00:14.352,    432, NaN, 29.4
16:00:14.385,    433, NaN, 30.0
16:00:14.418,    434, NaN, 31.9
16:00:14.452,    435, NaN, 34.1
16:00:14.485,    436, NaN, 33.9
16:00:14.518,    437, NaN, 33.1
16:00:14.552,    438, NaN, 33.5
16:00:14.585,    439, NaN, 33.9
16:00:14.618,    440, NaN, 32.3
16:00:14.652,    441, NaN, 31.7
16:00:14.685,    442, NaN, 32.0
16:00:14.718,    443, NaN, 32.3
16:00:14.752,    444, NaN, 33.2
16:00:14.785,    445, NaN, 34.6
16:00:14.818,    446, NaN, 40.2
16:00:14.852,    447, NaN, 51.4
16:00:14.885,    448, NaN, 71.2
16:00:14.918,    449, NaN, 98.9
16:00:14.952,    450, NaN, 121.4
16:00:14.985,    451, NaN, 142.5
16:00:15.018,    452, NaN, 159.1
16:00:15.052,    453, NaN, NaN
16:00:15.085,    454, NaN, 179.6
16:00:15.118,    455, NaN, 178.5
16:00:15.152,    456, NaN, 177.6
16:00:15.185,    457, NaN, 173.4
16:00:15.218,    458, NaN, 172.1
16:00:15.252,    459, NaN, 174.1
16:00:15.285,    460, NaN, 176.9
